カクテル名,甘辛,飲時,グラス,甘辛A,甘辛B,甘辛C,甘辛D,甘辛E,飲時前,飲時後,飲時全,グラスS,グラスM,グラスm,グラスG
ﾐﾓｻﾞ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ｼｬﾝﾊﾟﾝ･ｶｸﾃﾙ,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ﾜｲﾝ･ｸｰﾗｰ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ｽﾌﾟﾘｯﾂｧｰ,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
ｼｬﾝﾎﾞｰﾙ･ﾛﾜｲﾔﾙ,C,前,G,0,0,1,0,0,1,0,0,0,0,0,1
ﾛｾﾞ･ﾜｲﾝ･ﾀﾞｲｷﾘ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾌﾟﾁ･ﾌﾟﾚﾘｭｰﾄﾞ,C,前,M,0,0,1,0,0,1,0,0,0,1,0,0
ｷｰﾙ･ﾛﾜｲﾔﾙ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ｷｰﾙ･ｲﾝﾍﾟﾘｱﾙ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｷｰﾙ,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ｸﾗﾚｯﾄ･ﾊﾟﾝﾁ,C,全,M,0,0,1,0,0,0,0,1,0,1,0,0
ﾍﾞﾘｰﾆ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾊﾞﾝﾌﾞｰ,E,前,M,0,0,0,0,1,1,0,0,0,1,0,0
ｱﾒﾘｶﾝ･ﾚﾓﾈｰﾄﾞ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｱﾄﾞﾆｽ,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
ｱﾌﾞﾄﾞｩｰｸﾞ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
雪国,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ｳｫｯｶﾄﾆｯｸ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｳｫｯｶ･ﾘｯｷｰ,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
